Category,Name,Image,Website,Offer,Details,Districts
Hong Kong Style,靚靚車仔麵,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2020-07/%E9%9D%9A%E9%9D%9A%20%E4%B8%8D%E4%B8%80%E6%A8%A3%E7%9A%84%E8%BB%8A%E4%BB%94%E9%BA%B5_Signage20%28h%29%20x%2022%28w%29%20op-01.jpg?itok=17UqbCKc,http://www.diningdiscount.hk/en/restaurant/200,指定食品7折,"優惠數量有限，先到先得。
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。
如有任何爭議，參與商戶保留最終決定權。",['Yau Tsim Mong']
Hong Kong Style,廣發餐廳,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2020-07/%E5%BB%A3%E7%99%BC.jpeg?itok=-jqqLYOQ,http://www.diningdiscount.hk/en/restaurant/201,下午茶餐七折,"本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
如有任何爭議，參與商戶保留最終決定權。",['Tsuen Wan']
Hong Kong Style,Cafe 100%,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/Cafe100_logo_with%20R.jpg?itok=ssCGdK9X,http://www.diningdiscount.hk/en/restaurant/307,"指定小菜套餐七折
只適用晚市","本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
如有任何爭議，參與商戶保留最終決定權。","['Eastern', 'Southern', 'Sham Shui Po', 'Kowloon City', 'Kwun Tong', 'Yau Tsim Mong', 'Kwai Tsing', 'North', 'Sai Kung', 'Sha Tin', 'Tai Po', 'Tsuen Wan', 'Tuen Mun', 'Yuen Long']"
Hong Kong Style,OMQ Dining Room,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2019-10/OMQ%20Restaurant%20Logo_OP-01.jpg?itok=tQ6qJiuo,http://www.diningdiscount.hk/en/restaurant/131,"指定小菜套餐七折
只適用午市及晚市
只限堂食","本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
如有任何爭議，參與商戶保留最終決定權。
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。 ",['Yuen Long']
Chinese,Lucky Dragon Palace Restaurant,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/%E5%BD%A9%E9%BE%8D%E7%9A%87%E5%AE%AE%E5%A4%A7%E9%85%92%E6%A8%93.jpg?itok=9ZbzKt4Q,http://www.diningdiscount.hk/en/restaurant/286,"4人套餐, 提供7折優惠予已接種疫苗的顧客","本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。",['Kwun Tong']
Chinese,Tastefull Kitchen,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2019-08/%E7%9C%9F%E5%91%B3.jpg?itok=I82AG36K,http://www.diningdiscount.hk/en/restaurant/30,7折套餐,"本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
如有任何爭議，參與商戶保留最終決定權。","['Yau Tsim Mong', 'Sai Kung']"
Chinese, Fisher & Farmer,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/%E6%BC%81%E7%89%A7-logo%20-%20Lisa%20Lisa.png?itok=WEV1lUPZ,http://www.diningdiscount.hk/en/restaurant/439,"1）四川百味水煮牛肉七折後$97 (原價$138)
2）濃湯酸菜魚七折後$188 (原價$268)
 ","- 此優惠適用於已接種第一針新冠疫苗之顧客。
- 優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
- 除特別列明外，優惠不可與漁牧之任何其他推廣優惠、折扣或特價產品、公價產品、禮券或現金券、積分計劃、內部優惠同時使用。
- 優惠數量有限，先到先得。
- 顧客必須以電子貨幣支付方可享有優惠。 - 顧客於漁牧內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
- 此優惠只限堂食使用，並不適用於外賣服務、外賣平台和網上平台。顧客必須預先訂座，漁牧會因應座位供應情況而決定是否接受訂座。
- 此優惠須另收取一成服務費，並會以原價計算。
- 每位合資格的顧客每次惠顧只可享優惠一次，恕不接受分桌或分單。
- 如有任何爭議，漁牧將保留最終決定權。",['Kwun Tong']
Chinese,majestyseafood restaurant,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/2021%E5%B9%B47%E6%9C%88%E9%87%91%E5%BE%A1LOGO%20-%20Man%20ying%20Yip_0.png?itok=_iqz14W3,http://www.diningdiscount.hk/en/restaurant/442,晚飯套餐個別食品嘗(不可輿特價品同時享用),本優惠適用於已接種疫苗之顧客。 所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。 除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。 優惠數量有限，先到先得。 優惠並不適用於參與商戶之特定日期（如適用）。詳情請向參與商戶查詢。 顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。 餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。 所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。 每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。 如有任何爭議，參與商戶保留最終決定權。 優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。,['Central and Western']
Chinese,Pak Loh Chiu Chow Restaurant,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/pl%20-%20Mavis%20Yeong.jpg?itok=ji_HV1mb,http://www.diningdiscount.hk/en/restaurant/407,提供優惠套餐,"本優惠適用於已接種疫苗的顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠並不適用於參與商戶之特定日期（如適用）。詳情請向參與商戶查詢。
如有任何爭議，參與商戶保留最終決定權。","['Eastern', 'Yau Tsim Mong']"
Chinese,Gold Garden Roasted Pig & Goose Restaurant,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2020-07/%E9%87%91%E8%8B%91.jpg?itok=876vst67,http://www.diningdiscount.hk/en/restaurant/242,指定套餐7折,"所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。
如有任何爭議，參與商戶保留最終決定權。
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。",['Yau Tsim Mong']
Chinese,Dào Chéng Taiwanese Restaurant (V POINT),http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/%E7%A8%BB%E5%9F%95-logo%20-%20Lisa%20Lisa.png?itok=toieFAr2,http://www.diningdiscount.hk/en/restaurant/441,"指定4人餐套餐7折：$571／4位 (原價$816)  
●白滷水6福拼盤(獅頭鵝) - 鵝件肉/掌/翼/鵝腸/蛋/冰豆腐  
●藥膳燉排骨 (4位用)  
●蟹鉗肉酥蛋捲  
●台灣白玉苦瓜炒美國安格斯牛小排  
●蒼蠅頭爆炒韭菜花  
●野山豬脆皮炸大腸  
●滷肉台稉米飯 (4份)
 ","●    此優惠適用於已接種第一針新冠疫苗之顧客。
●    優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
●    除特別列明外，優惠不可與稻埕飯店V POINT分店之任何其他推廣優惠、折扣或特價產品、公價產品、禮券或現金券、積分計劃、內部優惠同時使用。
●    優惠數量有限，先到先得。
●    顧客必須以電子貨幣支付方可享有優惠。
●    顧客於稻埕飯店V POINT分店內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
●    此優惠只限堂食使用，並不適用於外賣服務、外賣平台和網上平台。顧客必須預先訂座，稻埕飯店V POINT分店會因應座位供應情況而決定是否接受訂座。
●    此優惠須另收取一成服務費，並會以原價計算。
●    每位合資格的顧客每次惠顧只可享優惠一次，恕不接受分桌或分單。
●    如有任何爭議，稻埕飯店V POINT分店將保留最終決定權。
螢幕閱讀器支援功能已啟用。",['Wan Chai']
Chinese,HO YIN SEAFOOD RESTAURANT /HO YIN PALACE /ONE HO YIN /HO YIN CUISINE,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2020-07/HO%20YIN%20Logo1111%20%281%29.jpg?itok=oRnenhoJ,http://www.diningdiscount.hk/en/restaurant/212,提供七折套餐予已接種疫苗之顧客,"- 所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
- 除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
- 優惠數量有限，先到先得。
- 惠並不適用於參與商戶之特定日期（如適用）。
- 詳情請向參與商戶查詢。
- 位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。
- 如有任何爭議，參與商戶保留最終決定權。","['Kowloon City', 'Kwun Tong', 'Wong Tai Sin', 'Sai Kung', 'Tai Po']"
Chinese,Victoria Pearl,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/VP_logo-Gold%20-%20tokyo%20kyoto.png?itok=3edpq1IT,http://www.diningdiscount.hk/en/restaurant/422,明珠精選套餐（６位用),"本優惠適用於已接種疫苗的顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。優惠數量有限，先到先得。
優惠並不適用於參與商戶之特定日期（如適用）。詳情請向參與商戶查詢。
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。
如有任何爭議，參與商戶保留最終決定權。
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。",['Eastern']
Chinese,Hot Pot Couple,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/%E5%A4%AB%E5%A6%BB%E6%B2%B8%E7%89%87-logo%20-%20Lisa%20Lisa.png?itok=qxy7yUHX,http://www.diningdiscount.hk/en/restaurant/440,"1.夫妻鍋「台式麻辣鍋」7折：全鍋$132 (原價$188)／半鍋$76 (原價$108)    
2.美人鍋「養顏花膠雞鍋」7折：全鍋230 (原價$328)／半鍋$125 (原價$178)    
3.暖男鍋「人蔘藥膳鍋」7折：全鍋$139 (原價$198)／半鍋$76 (原價$108)  
4.兄弟鍋「酸菜白肉鍋」7折：全鍋$104 (原價$148)／半鍋$56 (原價$80)  
5.季節限定「椰青雞鍋」7折：全鍋$202 (原價$288)／半鍋$118 (原價$168)","-        此優惠適用於已接種第一針新冠疫苗之顧客。
-        優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
-        除特別列明外，優惠不可與夫妻沸片之任何其他推廣優惠、折扣或特價產品、公價產品、禮券或現金券、積分計劃、內部優惠同時使用。
-        優惠數量有限，先到先得。
-        顧客必須以電子貨幣支付方可享有優惠。恕不接受八達通支付及現金付款。
-        顧客於夫妻沸片內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
-        此優惠只限堂食使用，並不適用於外賣服務、外賣平台和網上平台。顧客必須預先訂座，夫妻沸片會因應座位供應情況而決定是否接受訂座。
-        此優惠須另收取一成服務費，並會以原價計算。
-        每位合資格的顧客每次惠顧只可享優惠一次，恕不接受分桌或分單。
-        如有任何爭議，夫妻沸片將保留最終決定權。
 ",['Yau Tsim Mong']
Chinese,Victoria Harbour Supreme,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2019-08/%E6%B5%B7%E6%B8%AF%E8%96%88.jpg?itok=U_FjO_Si,http://www.diningdiscount.hk/en/restaurant/28,7折套餐,"本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。 餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
如有任何爭議，參與商戶保留最終決定權。","['Eastern', 'Wan Chai', 'Yau Tsim Mong', 'Kwai Tsing', 'Tai Po']"
Chinese,The Balcony  (The Cityview) ,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-06/The-Cityview-Logo%20-%20The%20Cityview.png?itok=gpmuD3EO,http://www.diningdiscount.hk/en/restaurant/364,30% off for a la carte menu of The Balcony  ,"Offers are eligible for vaccinated customers
Offers cannot be exchanged for cash, other products or discounts and are not transferable.,
Offers cannot be used in conjunction with other promotional offers, discounted items, fixed price items, coupons/vouchers, bonus point programmes, or merchant internal offers, unless otherwise stated.,
Offers may not be valid on blackout dates of participating merchants if applicable. Please check with participating merchants for details.,
Customers are required to quote the offers upon order/purchase at participating merchants in order to enjoy the offer.,
Dining offers are applicable to dine-in consumption only and not applicable to takeaway and tobacco items. Advance reservation is required if applicable and subject to seat availability.,
10% service charge applies on dining offers and will be calculated based on original price if applicable., Offers can only be redeemed once per eligible shopper per visit. Splitting of table or bill is not allowed for the purpose of enjoying the offers.,
In case of any disputes, the decision of the participating merchant shall remain final.,
In case of any discrepancies of the offer terms and conditions between English and Chinese versions, English version shall prevail.",['Yau Tsim Mong']
Chinese,Dynasty Restaurant (Renaissance Harbour View Hotel Hong Kong),http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-06/2.RHVHK%20Black%20Bilingual%20-%20Renaissance%20HK_0.png?itok=HUf0Sp9-,http://www.diningdiscount.hk/en/restaurant/389,"30% off Oyster Menu items (dine-in dinner only) on Mondays to Thursdays
- Operating hours are subject to change corresponding to latest government regulations without prior notice.
- If customers have any concerns regarding food allergies, please alert restaurant associates when ordering.
- For order and enquiries, please call 2802 8888.","Offers cannot be exchanged for cash, other products or discounts and are not transferable.
Offers cannot be used in conjunction with other promotional offers, discounted items, fixed price items, coupons/vouchers, bonus point programmes, or merchant internal offers, unless otherwise stated.
Offers are available on a first-come-first-served basis while stocks last.
Customers are required to quote the offers upon order/purchase at participating merchants in order to enjoy the offer.
Dining offers are applicable to dine-in consumption only and not applicable to takeaway and tobacco items. Advance reservation is required if applicable and subject to seat availability.
10% service charge applies on dining offers and will be calculated based on original price if applicable. Offers can only be redeemed once per eligible shopper per visit. Splitting of table or bill is not allowed for the purpose of enjoying the offers.
In case of any disputes, the decision of the participating merchant shall remain final.
In case of any discrepancies of the offer terms and conditions between English and Chinese versions, English version shall prevail.",['Wan Chai']
Chinese,DOUBLE HAPPINESS RESTAURANT ,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2020-07/logo-2%20-%20Ng%20King%20Lam_0.jpg?itok=je051b6G,http://www.diningdiscount.hk/en/restaurant/264,套餐7折,"本優惠適用於已接種疫苗的顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠並不適用於參與商戶之特定日期（如適用）。詳情請向參與商戶查詢。
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
如有任何爭議，參與商戶保留最終決定權。","['Tai Po', 'Tuen Mun']"
